Location,Disaster Type,Disaster Subtype,Start Year,Total Deaths,Total Damage ('000 US$)
Bengal,Drought,Drought,1900,1250000.0,
Kangra,Earthquake,Ground movement,1905,20000.0,25000.0
"Cuddalore, Pondicherry",Storm,Tropical cyclone,1916,300.0,
Punjab province,Storm,Tropical cyclone,1924,1242.0,
"Bezwada, Masulipatam",Storm,Tropical cyclone,1925,80.0,
Bengal,Flood,Riverine flood,1926,,
"Gujarat, Ahmedabad, Baroda",Storm,Tropical cyclone,1927,56.0,
Nellore,Storm,Tropical cyclone,1927,629.0,
"Godavari, Vizagapatnam",Flood,Flood (General),1928,36.0,
"Madras, Negapatam",Storm,Storm (General),1935,100.0,
Guntur (Madras),Storm,Tropical cyclone,1936,233.0,
"Orissa, West Bengal",Storm,Tropical cyclone,1942,40000.0,
"Calcutta, Bengal region",Drought,Drought,1942,1500000.0,
Rajputana,Storm,Tropical cyclone,1943,5000.0,
Madras,Storm,Storm (General),1943,,
Assam,Storm,Tropical cyclone,1944,304.0,
"Gujarat, Punjab",Storm,Tropical cyclone,1945,,
Assam,Mass movement (wet),Landslide (wet),1948,500.0,
"East & West Godavari districts, Masulipatnam",Storm,Tropical cyclone,1949,1000.0,
Saurashtra,Flood,Riverine flood,1950,45.0,
Assam province,Earthquake,Ground movement,1950,1500.0,20000.0
West,Storm,Storm (General),1950,90.0,
"Tanjore, Tiruchi",Storm,Tropical cyclone,1952,400.0,
Punjab,Storm,Tropical cyclone,1955,1500.0,
Tanjore,Storm,Tropical cyclone,1955,500.0,
"Parganas, Midnapore (West Bengal)",Storm,Tropical cyclone,1956,,
"Gujarat, Saurashtra, Kutch",Flood,Flood (General),1956,,
"Bihar, Uttar Pradesh",Flood,Flood (General),1956,100.0,
"Anjar, Bhuj, Gandhidham, Kandla",Earthquake,Ground movement,1956,113.0,
"Madya Pradesh, Uttar Pradesh",Flood,Flood (General),1957,42.0,
Vishakhapatam,Storm,Storm (General),1958,,
Madras city,Flood,Flood (General),1958,5.0,
Kutch,Flood,Flood (General),1959,17.0,
"Maduri, Madras City",Flood,Flood (General),1960,5.0,
North,Flood,Flood (General),1961,2000.0,
"Central, West India",Flood,Flood (General),1961,,
Uttar Pradesh,Flood,Flood (General),1961,57.0,
"Punjab, Delhi, M.P.",Storm,Storm (General),1962,,
"Orissa, Uttar Pradesh, Punjab",Storm,Storm (General),1963,200.0,
"Assam, Bihar, Punjab",Flood,Flood (General),1964,145.0,
Andhra Pradesh,Flood,Flood (General),1964,,500.0
Rameswaram,Storm,Tropical cyclone,1964,500.0,
"Rajasthan, center",Drought,Drought,1964,,
Mysore,Drought,Drought,1964,,
Nationwide except south,Drought,Drought,1965,1500000.0,100000.0
"Manipur, Assam",Flood,Flood (General),1966,47.0,1400.0
Madras state,Storm,Tropical cyclone,1966,18.0,4200.0
North,Earthquake,Ground movement,1966,15.0,
"North, Central",Flood,Flood (General),1967,300.0,
Orissa,Storm,Tropical cyclone,1967,1000.0,
"Maharashtra, Koynana",Earthquake,Ground movement,1967,177.0,400.0
Assam,Flood,Flood (General),1968,,
"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",Flood,Flash flood,1968,4892.0,94200.0
"Bihar, Bengal",Mass movement (wet),Landslide (wet),1968,1000.0,
"Ramanathapurum, Thanjavur",Storm,Tropical cyclone,1968,7.0,
"Guntur, Krishna, Godavari (Andhra Pradesh)",Storm,Tropical cyclone,1969,600.0,8330.0
Kannaman,Storm,Storm (General),1969,15.0,
Madras City,Storm,Storm (General),1969,,
Andhra Pradesh,Storm,Tropical cyclone,1969,200.0,
"North-East, Western, North",Flood,Flood (General),1970,627.0,101200.0
Madras city (Tamil Nadu),Storm,Storm (General),1970,,
"Gujarat, Orissa states",Flood,Flood (General),1970,400.0,
Broach,Earthquake,Ground movement,1970,26.0,
North,Flood,Flood (General),1971,1023.0,530000.0
Uttar Pradesh,Flood,Flood (General),1971,300.0,
"East coast, Orissa state",Storm,Tropical cyclone,1971,9658.0,30000.0
"Bihar, West Bengal",Storm,Tropical cyclone,1971,60.0,
"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",Flood,Flood (General),1971,,
"Andhra Pradesh, Orissa",Storm,Tropical cyclone,1972,100.0,
"Srinagar, Kashmir",Storm,Storm (General),1972,50.0,
Madras City,Storm,Tropical cyclone,1972,80.0,
Central,Drought,Drought,1972,,100000.0
"Uttar Pradesh, Bihar",Extreme temperature,Cold wave,1973,115.0,
"Bihar, Delhi",Extreme temperature,Cold wave,1973,146.0,
"West Bengal, Madya Pradesh, Gujarat states",Storm,Tropical cyclone,1974,20.0,
